sep=,
Steam Sales data for Jack Michael Gilbride: 2000-01-01 - 2020-02-26

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,AT,Austria,Western Europe,2,0,2,3.29,0.39,EUR,0.8655,0.0000,-0.1554,0.7101,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,AU,Australia,Oceania,1,0,1,5.95,0.75,AUD,0.5115,0.0000,-0.0477,0.4638,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,DE,Germany,Western Europe,2,0,2,3.29,0.39,EUR,0.8653,0.0000,-0.1331,0.7322,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,JP,Japan,Asia,1,0,1,410.00,50.00,JPY,0.4584,0.0000,-0.0458,0.4126,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,RU,Russian Federation,Russia Ukraine & CIS,1,0,1,102.00,15.00,RUB,0.2356,0.0000,0.0000,0.2356,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,TH,Thailand,South East Asia,1,0,1,85.00,11.50,THB,0.3805,0.0000,0.0000,0.3805,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,UA,Ukraine,Russia Ukraine & CIS,1,0,1,79.00,10.00,UAH,0.3979,0.0000,0.0000,0.3979,""
2019-10-28,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,US,United States,North America,3,0,3,3.99,0.49,USD,1.5400,0.0000,-0.0700,1.4700,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,AT,Austria,Western Europe,1,0,1,3.29,0.39,EUR,0.4346,0.0000,-0.0780,0.3566,""
2019-10-29,-1,Direct Package Sale,279673,"Cybrus",Steam,"Cybrus",Windows,BR,Brazil,Latin America,1,0,1,8.69,1.14,BRL,0.2861,0.0000,0.0000,0.2861,""
